year,k,A,Actual,Pred_Ck,Pred_NCk,Pred_CR,Pred_NCR
03,3,Oklahoma,3,2,2,5,4
03,3,South Carolina St.,0,0,0,0,0
03,3,California,1,1,1,1,1
03,3,North Carolina St.,0,0,0,0,0
03,3,Mississippi St.,0,1,1,1,2
03,3,Butler,2,0,0,0,0
03,3,Louisville,1,3,3,2,1
03,3,Austin Peay,0,0,0,0,0
03,3,Oklahoma St.,1,1,1,1,1
03,3,Penn,0,0,0,0,0
03,3,Syracuse,6,2,2,2,2
03,3,Manhattan,0,0,0,0,0
03,3,Saint Joseph's,0,1,1,1,3
03,3,Auburn,2,0,0,0,0
03,3,Wake Forest,1,5,4,3,1
03,3,East Tennessee St.,0,0,0,0,0
03,3,Texas,4,2,2,4,3
03,3,UNC Asheville,0,0,0,0,0
03,3,LSU,0,0,0,1,1
03,3,Purdue,1,1,1,0,0
03,3,Connecticut,2,1,1,2,2
03,3,BYU,0,0,0,0,0
03,3,Stanford,1,4,5,1,1
03,3,San Diego,0,0,0,0,0
03,3,Maryland,2,1,1,1,1
03,3,UNC Wilmington,0,0,0,0,0
03,3,Xavier,1,3,2,2,2
03,3,Troy,0,0,0,0,0
03,3,Michigan St.,3,0,0,1,1
03,3,Colorado,0,1,1,0,0
03,3,Florida,1,2,3,3,5
03,3,Sam Houston St.,0,0,0,0,0
03,3,Arizona,3,4,4,4,4
03,3,Vermont,0,0,0,0,0
03,3,Cincinnati,0,1,1,1,1
03,3,Gonzaga,1,0,0,0,0
03,3,Notre Dame,2,1,1,1,1
03,3,Milwaukee,0,0,0,0,0
03,3,Illinois,1,2,2,2,2
03,3,Western Kentucky,0,0,0,0,0
03,3,Creighton,0,1,1,1,1
03,3,Central Michigan,1,0,0,0,0
03,3,Duke,2,2,3,2,2
03,3,Colorado St.,0,0,0,0,0
03,3,Memphis,0,3,2,1,1
03,3,Arizona St.,1,0,0,0,0
03,3,Kansas,5,1,1,3,3
03,3,Utah St.,0,0,0,0,0
03,3,Kentucky,3,6,6,6,6
03,3,IUPUI,0,0,0,0,0
03,3,Oregon,0,0,0,0,0
03,3,Utah,1,1,1,1,1
03,3,Wisconsin,2,1,1,2,2
03,3,Weber St.,0,0,0,0,0
03,3,Dayton,0,2,2,1,1
03,3,Tulsa,1,0,0,0,0
03,3,Missouri,1,2,2,1,1
03,3,Southern Illinois,0,0,0,0,0
03,3,Marquette,4,1,1,2,2
03,3,Holy Cross,0,0,0,0,0
03,3,Indiana,1,1,1,0,0
03,3,Alabama,0,0,0,1,1
03,3,Pittsburgh,2,3,3,3,3
03,3,Wagner,0,0,0,0,0
03,4,Oklahoma,3,2,2,5,4
03,4,South Carolina St.,0,0,0,0,0
03,4,California,1,1,1,1,1
03,4,North Carolina St.,0,0,0,0,0
03,4,Mississippi St.,0,1,1,1,2
03,4,Butler,2,0,0,0,0
03,4,Louisville,1,3,3,2,1
03,4,Austin Peay,0,0,0,0,0
03,4,Oklahoma St.,1,0,0,1,1
03,4,Penn,0,1,1,0,0
03,4,Syracuse,6,2,2,2,2
03,4,Manhattan,0,0,0,0,0
03,4,Saint Joseph's,0,1,1,1,3
03,4,Auburn,2,0,0,0,0
03,4,Wake Forest,1,4,5,3,1
03,4,East Tennessee St.,0,0,0,0,0
03,4,Texas,4,1,1,4,3
03,4,UNC Asheville,0,0,0,0,0
03,4,LSU,0,0,0,1,1
03,4,Purdue,1,2,2,0,0
03,4,Connecticut,2,1,1,2,2
03,4,BYU,0,0,0,0,0
03,4,Stanford,1,5,4,1,1
03,4,San Diego,0,0,0,0,0
03,4,Maryland,2,0,0,1,1
03,4,UNC Wilmington,0,1,1,0,0
03,4,Xavier,1,3,2,2,2
03,4,Troy,0,0,0,0,0
03,4,Michigan St.,3,0,0,1,1
03,4,Colorado,0,1,1,0,0
03,4,Florida,1,2,3,3,5
03,4,Sam Houston St.,0,0,0,0,0
03,4,Arizona,3,4,4,4,4
03,4,Vermont,0,0,0,0,0
03,4,Cincinnati,0,1,1,1,1
03,4,Gonzaga,1,0,0,0,0
03,4,Notre Dame,2,1,2,1,1
03,4,Milwaukee,0,0,0,0,0
03,4,Illinois,1,2,1,2,2
03,4,Western Kentucky,0,0,0,0,0
03,4,Creighton,0,1,1,1,1
03,4,Central Michigan,1,0,0,0,0
03,4,Duke,2,2,3,2,2
03,4,Colorado St.,0,0,0,0,0
03,4,Memphis,0,3,1,1,1
03,4,Arizona St.,1,0,0,0,0
03,4,Kansas,5,1,2,3,3
