Oklahoma,Kentucky,Arizona,Texas
Wake Forest,Pittsburgh,Kansas,Florida
Syracuse,Marquette,Duke,Xavier
Louisville,Dayton,Illinois,Stanford
Mississippi State,Wisconsin,Notre Dame,Connecticut
Oklahoma State,Missouri,Creighton,Maryland
Saint Joseph's,Indiana,Memphis,Michigan State
California,Oregon,Cincinnati,LSU
North Carolina State,Utah,Gonzaga,Purdue
Auburn,Alabama,Arizona State,Colorado
Penn,Southern Illinois,Central Michigan,UNC Wilmington
Butler,Weber State,Milwaukee,BYU
Austin Peay,Tulsa,Western Kentucky,San Diego
Manhattan,Holy Cross,Colorado State,Troy
East Tennessee State,Wagner,Utah State,Sam Houston St.
South Carolina State,IUPUI,Vermont,UNC Asheville
