Saint Joseph's,Duke,Stanford,Kentucky
Oklahoma State,Mississippi State,Connecticut,Gonzaga
Pittsburgh,Texas,North Carolina State,Georgia Tech
Wake Forest,Cincinnati,Maryland,Kansas
Florida,Illinois,Syracuse,Providence
Wisconsin,North Carolina,Vanderbilt,Boston College
Memphis,Xavier,DePaul,Michigan State
Texas Tech,Seton Hall,Alabama,Washington
Charlotte,Arizona,Southern Illinois,UAB
South Carolina,Louisville,Dayton,Nevada
Richmond,Air Force,Western Michigan,Utah
Manhattan,Murray State,BYU,Pacific
VCU,East Tennessee State,UTEP,"Illinois Chicago
"
UCF,Princeton,Louisiana-Lafayette,Northern Iowa
Eastern Washington,Monmouth,Vermont,Valparaiso
Liberty,Alabama State,UTSA,Florida A&M
