Illinois,North Carolina,Duke,Washington
Oklahoma State,Connecticut,Kentucky,Wake Forest
Arizona,Kansas,Oklahoma,Gonzaga
Boston College,Florida,Syracuse,Louisville
Alabama,Villanova,Michigan State,Georgia Tech
LSU,Wisconsin,Utah,Texas Tech
Southern Illinois,Charlotte,Cincinnati,West Virginia
Texas,Minnesota,Stanford,Pacific
Nevada,Iowa State,Mississippi State,Pittsburgh
St. Mary's,North Carolina State,Iowa,Creighton
UAB,Northern Iowa,UTEP,UCLA
Milwaukee,New Mexico,Old Dominion,George Washington
Pennsylvania,Ohio,Vermont,Louisiana-Lafayette
Utah State,Bucknell,Niagara,Winthrop
Southeastern Louisiana,Central Florida,Eastern Kentucky,Chattanooga
Fairleigh Dickinson,Oakland,Delaware State,Montana
