Duke,Connecticut,Villanova,Memphis
Texas,Tennessee,Ohio State,UCLA
Iowa,North Carolina,Florida,Gonzaga
LSU,Illinois,Boston College,Kansas
Syracuse,Washington,Nevada,Pittsburgh
West Virginia,Michigan State,Oklahoma,Indiana
California,Wichita State,Georgetown,Marquette
George Washington,Kentucky,Arizona,Arkansas
UNC-Wilmington,UAB,Wisconsin,Bucknell
North Carolina State,Seton Hall,Northern Iowa,Alabama
Southern Illinois,George Mason,Milwaukee,San Diego State
Texas A&M,Utah State,Montana,Kent State
Iona,Air Force,Pacific,Bradley
Northwestern State,Murray State,South Alabama,Xavier
Pennsylvania,Winthrop,Davidson,Belmont
Southern,Albany,Monmouth,Oral Roberts
