Florida,North Carolina,Ohio State,Kansas
Wisconsin,Georgetown,Memphis,UCLA
Oregon,Washington State,Texas A&M,Pittsburgh
Maryland,Texas,Virginia,Southern Illinois
Butler,USC,Tennessee,Virginia Tech
Notre Dame,Vanderbilt,Louisville,Duke
UNLV,Boston College,Nevada,Indiana
Arizona,Marquette,Brigham Young,Kentucky
Purdue,Michigan State,Xavier,Villanova
Georgia Tech,Texas Tech,Creighton,Gonzaga
Winthrop,George Washington,Stanford,VCU
Old Dominion,Arkansas,Long Beach State,Illinois
Davidson,New Mexico State,Albany,Holy Cross
Miami OH,Oral Roberts,Penn,Wright State
Texas A&M-Corpus Christi,Belmont,North Texas,Weber State
Jackson State,Eastern Kentucky,Central Connecticut,Niagara
