North Carolina,UCLA,Memphis,Kansas
Tennessee,Duke,Texas,Georgetown
Louisville,Xavier,Stanford,Wisconsin
Washington State,Connecticut,Pittsburgh,Vanderbilt
Notre Dame,Drake,Michigan State,Clemson
Oklahoma,Purdue,Marquette,USC
Butler,West Virginia,Miami FL,Gonzaga
Indiana,Brigham Young,Mississippi State,UNLV
Arkansas,Texas A&M,Oregon,Kent State
South Alabama,Arizona,Saint Mary's ,Davidson
Saint Joseph's,Baylor,Kentucky,Kansas State
George Mason,WKU,Temple,Villanova
Winthrop,San Diego,Oral Roberts,Siena
Boise State,Georgia,Cornell,Cal State Fullerton
American,Belmont,Austin Peay,UMBC
Mount St. Mary's,Mississippi Valley State,UT Arlington,Portland State
