year,k,Accuracy_Ck,Accuracy_NCk,Accuracy_CR,Accuracy_NCR,Delta_Ck,Delta_NCk
09,3,32.0,33.0,42.0,42.0,-10.0,-9.0
09,4,27.0,26.0,42.0,42.0,-15.0,-16.0
09,5,32.0,30.0,42.0,42.0,-10.0,-12.0
09,6,36.0,39.0,42.0,42.0,-6.0,-3.0
09,7,36.0,40.0,42.0,42.0,-6.0,-2.0
09,8,40.0,41.0,42.0,42.0,-2.0,-1.0
09,9,41.0,40.0,42.0,42.0,-1.0,-2.0
09,10,39.0,39.0,42.0,42.0,-3.0,-3.0
09,11,44.0,43.0,42.0,42.0,2.0,1.0
09,12,43.0,46.0,42.0,42.0,1.0,4.0
09,13,45.0,46.0,42.0,42.0,3.0,4.0
09,14,44.0,42.0,42.0,42.0,2.0,0.0
09,15,43.0,39.0,42.0,42.0,1.0,-3.0
09,16,43.0,40.0,42.0,42.0,1.0,-2.0
09,17,43.0,42.0,42.0,42.0,1.0,0.0
09,18,41.0,40.0,42.0,42.0,-1.0,-2.0
09,19,40.0,41.0,42.0,42.0,-2.0,-1.0
09,20,39.0,40.0,42.0,42.0,-3.0,-2.0
09,21,38.0,38.0,42.0,42.0,-4.0,-4.0
09,22,39.0,39.0,42.0,42.0,-3.0,-3.0
09,23,40.0,40.0,42.0,42.0,-2.0,-2.0
09,24,41.0,41.0,42.0,42.0,-1.0,-1.0
09,25,42.0,41.0,42.0,42.0,0.0,-1.0
09,26,42.0,41.0,42.0,42.0,0.0,-1.0
09,27,42.0,41.0,42.0,42.0,0.0,-1.0
