Pittsburgh,Connecticut,Louisville,North Carolina
Duke,Memphis,Michigan State,Oklahoma
Villanova,Missouri,Kansas,Syracuse
Xavier,Washington,Wake Forest,Gonzaga
Florida State,Purdue,Utah,Illinois
UCLA,Marquette,West Virginia,Arizona State
Texas,California,Boston College,Clemson
Oklahoma State,BYU,Ohio State,LSU
Tennessee,Texas A&M,Siena,Butler
Minnesota,Maryland,USC,Michigan
Virginia Commonwealth,Utah State,Dayton,Temple
Wisconsin,Northern Iowa,Arizona,Western Kentucky
Portland State,Mississippi State,Cleveland State,Akron
American,Cornell,North Dakota State,Stephen F. Austin
Binghamton,Cal St. Northridge,Robert Morris,Morgan State
East Tennessee State,Chattanooga,Morehead State,Radford
