Kentucky,Syracuse,Kansas,Duke
West Virginia,Kansas State,Ohio State,Villanova
New Mexico,Pittsburgh,Georgetown,Baylor
Wisconsin,Vanderbilt,Maryland,Purdue
Temple,Butler,Michigan State,Texas A&M
Marquette,Xavier,Tennessee,Notre Dame
Clemson,BYU,Oklahoma State,Richmond
Texas,Gonzaga,UNLV,California
Wake Forest,Florida State,Northern Iowa,Louisville
Missouri,Florida,Georgia Tech,Saint Mary's
Washington,Minnesota,San Diego State,Old Dominion
Cornell,UTEP,New Mexico State,Utah State
Wofford,Murray State,Houston,Siena
Montana,Oakland,Ohio,Sam Houston State
Morgan State,North Texas,UC Santa Barbara,Robert Morris
East Tennessee State,Vermont,Lehigh,Arkansas-Pine Bluff
