Ohio State,Kansas,Pittsburgh,Duke
North Carolina,Notre Dame,Florida,San Diego State
Syracuse,Purdue,BYU,Connecticut
Kentucky,Louisville,Wisconsin,Texas
West Virginia,Vanderbilt,Kansas State,Arizona
Xavier,Georgetown,St. John's,Cincinnati
Washington,Texas A&M,UCLA,Temple
George Mason,UNLV,Butler,Michigan
Villanova,Illinois,Old Dominion,Tennessee
Georgia,Florida State,Michigan State,Penn State
Marquette,VCU,Gonzaga,Missouri
Clemson,Richmond,Utah State,Memphis
Princeton,Morehead State,Belmont,Oakland
Indiana State,Saint Peter's,Wofford,Bucknell
LIU Brooklyn,Akron,UC Santa Barbara,Northern Colorado
UTSA,Boston University,UNC Asheville,Hampton
