Kentucky,Syracuse,North Carolina,Michigan State
Duke,Ohio State,Kansas,Missouri
Baylor,Florida State,Georgetown,Marquette
Indiana,Wisconsin,Michigan,Louisville
Wichita State,Vanderbilt,Temple,New Mexico
UNLV,Cincinnati,San Diego State,Murray State
Notre Dame,Gonzaga,Saint Mary's,Florida
Iowa State,Kansas State,Creighton,Memphis
Connecticut,Southern Miss,Alabama,Saint Louis
Xavier,West Virginia,Purdue,Virginia
Colorado,Texas,North Carolina State,Colorado State
VCU,Harvard,South Florida,Long Beach State
New Mexico State,Montana,Ohio,Davidson
South Dakota State,St. Bonaventure,Belmont,Brigham Young
Lehigh,Loyola (MD),Detroit,Norfolk State
Western Kentucky,UNC-Asheville,Vermont,"LIU Brooklyn
"
