Kansas,Gonzaga,Louisville,Indiana
Georgetown,Ohio State,Duke,Miami FL
Florida,New Mexico,Michigan State,Marquette
Michigan,Kansas State,Saint Louis,Syracuse
VCU,Wisconsin,Oklahoma State,UNLV
UCLA,Arizona,Memphis,Butler
San Diego State,Notre Dame,Creighton,Illinois
North Carolina,Pittsburgh,Colorado State,North Carolina State
Villanova,Wichita State,Missouri,Temple
Oklahoma,Iowa State,Cincinnati,Colorado
Minnesota,Belmont,Saint Mary's,Bucknell
Akron,Mississippi,Oregon,California
South Dakota State,La Salle,New Mexico State,Montana
Northwestern State,Harvard,Valparaiso,Davidson
Florida Gulf Coast,Iona,Albany,Pacific
Western Kentucky,Southern,North Carolina A&T,James Madison
