Florida,Wichita State,Arizona,Virginia
Kansas,Michigan,Wisconsin,Villanova
Syracuse,Duke,Creighton,Iowa State
UCLA,Louisville,San Diego State,Michigan State
VCU,Saint Louis,Oklahoma,Cincinnati
Ohio State,Massachusetts,Baylor,North Carolina
New Mexico,Texas,Oregon,Connecticut
Colorado,Kentucky,Gonzaga,Memphis
Pittsburgh,Kansas State,Oklahoma State,George Washington
Stanford,Arizona State,BYU,Saint Joseph's
Dayton,Tennessee,Nebraska,Providence
Stephen F. Austin,North Carolina State,North Dakota State,Harvard
Tulsa,Manhattan,New Mexico State,Delaware
Western Michigan,Mercer,Louisiana-Lafayette,North Carolina Central
Eastern Kentucky,Wofford,American,Milwaukee
Albany,Cal Poly,Weber State,Coastal Carolina
