Kentucky,Duke,Villanova,Wisconsin
Kansas,Gonzaga,Virginia,Arizona
Notre Dame,Iowa State,Oklahoma,Baylor
Maryland,Georgetown,Louisville,North Carolina
West Virginia,Utah,Northern Iowa,Arkansas
Butler,SMU,Providence,Xavier
Wichita State,Iowa,Michigan State,VCU
Cincinnati,San Diego State,NC State,Oregon
Purdue,St. John's,LSU,Oklahoma State
Indiana,Davidson,Georgia,Ohio State
Texas,UCLA,Dayton,Mississippi
Buffalo,Stephen F. Austin,Wyoming,Wofford
Valparaiso,Eastern Washington,UC Irvine,Harvard
Northeastern,UAB,Albany,Georgia State
New Mexico State,North Dakota State,Belmont,Texas Southern
Hampton,Robert Morris,Lafayette,Coastal Carolina
