ID,Team
2,AUBURN
5,UAB
6,SOUTH ALABAMA
8,ARKANSAS
9,ARIZONA ST
9,ARIZONA STATE
12,ARIZONA
13,CAL POLY
16,SACRAMENTO ST
16,SACRAMENTO STATE
21,SAN DIEGO STATE
21,SAN DIEGO ST
23,SAN JOSé ST
23,SAN JOSE STATE
23,SAN JOSE ST
24,STANFORD
25,CALIFORNIA
26,UCLA
27,UC RIVERSIDE
30,USC
36,COLORADO STATE
36,COLORADO ST
38,COLORADO
41,CONNECTICUT
42,HARTFORD
43,YALE
44,AMERICAN U
44,AMERICAN UNIVERSITY
45,G. WASHINGTON
45,GEORGE WASHINGTON
46,GEORGETOWN
47,HOWARD
48,DELAWARE
50,FLORIDA A&M
52,FLORIDA ST
52,FLORIDA STATE
55,JACKSONVILLE STATE
55,JACKSONVILLE ST
56,STETSON
57,FLORIDA
58,SOUTH FLORIDA
59,GEORGIA TECH
61,GEORGIA
62,HAWAII
66,IOWA ST
66,IOWA STATE
68,BOISE STATE
68,BOISE ST
70,IDAHO
71,BRADLEY
77,NORTHWESTERN
79,SOUTHERN ILLINOIS
79,S ILLINOIS
82,ILLINOIS CHICAGO
82,ILLINOIS-CHICAGO
82,UIC
84,INDIANA
85,IUPUI
87,NOTRE DAME
93,MURRAY STATE
93,MURRAY ST
94,NORTHERN KENTUCKY
94,NKU
96,KENTUCKY
97,LOUISVILLE
98,WKU
98,WESTERN KENTUCKY
98,W KENTUCKY
99,LSU
103,BOSTON COLLEGE
104,BOSTON UNIVERSITY
104,BOSTON UNIV
104,BOSTON UNIV.
104,BOSTON U
107,HOLY CROSS
108,HARVARD
111,NORTHEASTERN
113,MASSACHUSETTS
116,MOUNT ST. MARY
116,MOUNT ST. MARY'S
116,MT. SAINT MARY'S
116,MT. ST. MARY'S
116,MOUNT ST MARY'S
119,TOWSON
120,MARYLAND
127,MICHIGAN STATE
127,MICHIGAN ST
130,MICHIGAN
135,MINNESOTA
139,SAINT LOUIS
140,UMKC
142,MISSOURI
145,MISSISSIPPI
145,OLE MISS
147,MONTANA STATE
147,MONTANA ST
149,MONTANA
150,DUKE
151,EAST CAROLINA
152,NORTH CAROLINA ST
152,NC ST
152,NC STATE
152,NORTH CAROLINA STATE
153,NORTH CAROLINA
154,WAKE FOREST
155,NORTH DAKOTA
156,CREIGHTON
158,NEBRASKA
159,DARTMOUTH
160,NEW HAMPSHIRE
161,FAIR DICKINSON
161,FAIRLEIGH DICKINSON
163,PRINCETON
164,RUTGERS
166,NEW MEXICO STATE
166,NEW MEXICO ST
167,NEW MEXICO
171,COLUMBIA
172,CORNELL
179,ST. BONAVENTURE
183,SYRACUSE
189,BOWLING GREEN
193,MIAMI (OH)
194,OHIO STATE
194,OHIO ST
195,OHIO
197,OKLAHOMA STATE
197,OKLAHOMA ST
198,ORAL ROBERTS
201,OKLAHOMA
202,TULSA
204,OREGON ST
204,OREGON STATE
213,PENN ST
213,PENN STATE
218,TEMPLE
219,PENNSYLVANIA
221,PITTSBURGH
222,VILLANOVA
225,BROWN
227,RHODE ISLAND
228,CLEMSON
231,FURMAN
232,CHARLESTON
232,COLLEGE OF CHARLESTON
233,SOUTH DAKOTA
235,MEMPHIS
236,CHATTANOOGA
238,VANDERBILT
239,BAYLOR
242,RICE
245,TEXAS A&M
248,HOUSTON
249,NORTH TEXAS
250,UT-ARLINGTON
250,TX-ARLINGTON
250,TEXAS-ARLINGTON
251,TEXAS
252,BRIGHAM YOUNG
252,BYU
253,SOUTHERN UTAH
254,UTAH
256,JAMES MADISON
257,RICHMOND
258,VIRGINIA
259,VIRGINIA TECH
261,VERMONT
264,WASHINGTON
265,WASHINGTON ST
265,WASHINGTON STATE
269,MARQUETTE
270,MILWAUKEE
275,WISCONSIN
276,MARSHALL
277,WEST VIRGINIA
278,FRESNO STATE
278,FRESNO ST
279,PACIFIC
282,INDIANA STATE
282,INDIANA ST
288,LIPSCOMB
290,GEORGIA SOUTHERN
290,GA. SOUTHERN
292,UT-PAN AMERICAN
292,TX-PAN AMERICAN
292,TEXAS-PAN AMERICAN
294,JACKSONVILLE
295,OLD DOMINION
299,LONG BEACH ST
299,LONG BEACH STATE
300,UC IRVINE
301,SAN DIEGO
302,UC DAVIS
304,IDAHO ST
304,IDAHO STATE
305,DEPAUL
309,LOUISIANA-LAFAYETTE
309,UL LAFAYETTE
309,LA-LAFAYETTE
311,MAINE
314,IONA
315,NIAGARA
322,LAFAYETTE
324,COAST CAROLINA
324,COASTAL CAROLINA
325,CLEVELAND ST
325,CLEVELAND STATE
326,TEXAS ST
326,TEXAS STATE
328,UTAH ST
328,UTAH STATE
331,E WASHINGTON
331,EASTERN WASHINGTON
333,ALABAMA
338,KENNESAW STATE
338,KENNESAW ST
339,EVANSVILLE
344,MISSISSIPPI STATE
344,MISSISSIPPI ST
349,ARMY
350,NORTH CAROLINA WILMINGTON
350,UNC-WILMINGTON
350,NORTH CAROLINA-WILMINGTON
350,UNC WILMINGTON
356,ILLINOIS
357,TEXAS A&M-CORPUS CHRIST
357,TEXAS A&M-CORPUS CHRISTI
357,TEXAS A&M-CC
399,ALBANY
526,FGCU
526,FLORIDA GULF COAST
2000,ABILENE CHRISTIAN
2005,AIR FORCE
2006,AKRON
2010,ALABAMA A&M
2011,ALABAMA ST
2011,ALABAMA STATE
2016,ALCORN ST
2016,ALCORN STATE
2026,APPALACHIAN STATE
2026,APPALACHIAN ST
2029,ARKANSAS-PINE BLUFF
2029,AR-PINE BLUFF
2031,AR-LITTLE ROCK
2031,ARKANSAS-LITTLE ROCK
2032,ARKANSAS STATE
2032,ARKANSAS ST
2046,AUSTIN PEAY
2050,BALL ST
2050,BALL STATE
2057,BELMONT
2065,BETHUNE-COOKMAN
2066,BINGHAMTON
2083,BUCKNELL
2084,BUFFALO
2086,BUTLER
2097,CAMPBELL
2099,CANISIUS
2110,CENTRAL ARKANSAS
2110,CENT ARKANSAS
2115,CENTRAL CONNECTICUT STATE
2115,CENTRAL CONNECTICUT ST
2115,CENT CONN ST
2116,CENTRAL FLORIDA
2116,UCF
2117,CENTRAL MICHIGAN
2117,CENT MICHIGAN
2127,CHARLESTON SOUTHERN
2127,CHARL SOUTHERN
2130,CHICAGO STATE
