ID,Rank,Team,W,L,Pyth,AdjO,AdjD,AdjT,Luck,PP0,PP1,PP2,PP3
12,1,Arizona,30,4,0.954,113.1,86.9,64.4,0.024,0.360550687,0.235491248,0.322441863,0.081516201
97,2,Louisville,29,5,0.9515,117.4,90.6,68.9,-0.044,0.348762224,0.234191044,0.300799728,0.116247004
57,3,Florida,32,2,0.9476,115.8,90,63.2,0.059,0.371913082,0.242528612,0.277927265,0.107631041
258,4,Virginia,28,6,0.9418,114,89.5,61,0.028,0.386456977,0.231393369,0.290994691,0.091154963
2724,5,Wichita St.,34,0,0.9399,117.7,92.7,65,0.009,0.326863187,0.289910875,0.277227274,0.105998664
222,6,Villanova,28,4,0.9196,115.8,93.7,67.1,0.086,0.362557057,0.262262239,0.243594268,0.131586436
150,7,Duke,26,8,0.9126,124.4,101.4,66,-0.026,0.340994937,0.253498812,0.270949817,0.134556434
156,8,Creighton,26,7,0.9121,125.7,102.5,65.1,-0.009,0.363964131,0.216788389,0.261162984,0.158084497
2305,9,Kansas,24,9,0.9108,118.6,96.9,68.2,-0.04,0.329754919,0.276546866,0.31356495,0.080133265
127,10,Michigan St.,26,8,0.9038,117.3,96.5,65.6,-0.009,0.395816672,0.198691161,0.282943423,0.122548744
275,11,Wisconsin,26,7,0.9,119.5,98.7,64.4,0.02,0.34251827,0.274589673,0.26021325,0.122678807
2670,12,VCU,26,8,0.8972,107.9,89.4,70.6,-0.044,0.419290714,0.213589359,0.262651469,0.104468459
2633,13,Tennessee,21,12,0.8968,113.5,94.1,63.3,-0.097,0.352912255,0.255669213,0.300759093,0.090659439
130,14,Michigan,25,8,0.8935,122.3,101.6,62.8,0.055,0.363405633,0.230507976,0.271705146,0.134381245
183,15,Syracuse,27,5,0.8925,113.2,94.2,61.3,0.035,0.358428637,0.246679317,0.312836556,0.08205549
26,16,UCLA,26,8,0.8885,116.8,97.5,70.1,-0.015,0.344105475,0.244972654,0.320668788,0.090253083
96,17,Kentucky,24,10,0.8844,114.9,96.3,66,-0.06,0.323087936,0.301993155,0.298861374,0.076057535
221,18,Pittsburgh,25,9,0.8841,115.1,96.5,64,-0.047,0.337135775,0.274969301,0.307561656,0.080333268
194,19,Ohio St.,25,9,0.8828,107.1,89.9,65.4,-0.028,0.392290554,0.24093418,0.278552156,0.08822311
2250,20,Gonzaga,28,6,0.8804,111.5,93.7,66.1,-0.006,0.360677241,0.23147893,0.302024889,0.105818939
21,21,San Diego St.,29,4,0.8787,108,90.9,64.1,0.078,0.41334577,0.224352287,0.261662514,0.100639429
197,22,Oklahoma St.,21,12,0.878,114,96,68.5,-0.101,0.365626616,0.253404585,0.26331667,0.117652129
66,23,Iowa St.,26,7,0.8758,115.9,97.8,71.7,0.072,0.382728793,0.218419043,0.285720184,0.11313198
2132,24,Cincinnati,27,6,0.8701,107.9,91.4,63.2,0.05,0.385222988,0.241723469,0.281693492,0.091360051
41,25,Connecticut,26,8,0.8688,109.5,92.9,65,0.059,0.388087327,0.242178266,0.261802288,0.107932119
153,26,North Carolina,23,9,0.8645,111,94.5,70.9,0.006,0.370305541,0.236633949,0.333680456,0.059380055
2294,27,Iowa,20,12,0.8609,120.1,102.5,70.9,-0.114,0.320832003,0.284968673,0.31183589,0.082363434
167,28,New Mexico,27,6,0.857,112.7,96.5,66.1,0.044,0.344359193,0.279170219,0.288718386,0.087752202
201,29,Oklahoma,23,9,0.8538,116.9,100.3,71.3,-0.012,0.365626616,0.253404585,0.26331667,0.117652129
2483,30,Oregon,23,9,0.8524,117.1,100.6,68.8,-0.032,0.346293621,0.269714086,0.274968256,0.109024038
239,31,Baylor,24,11,0.8492,118.6,102,62.6,0.012,0.355502078,0.25333625,0.275213301,0.11594837
2567,32,SMU,23,9,0.8455,108.3,93.5,66.5,-0.05,0.37738979,0.239067261,0.314834641,0.068708307
108,33,Harvard,26,4,0.8402,111.2,96.3,65.1,0.024,0.346899543,0.275708558,0.290379289,0.087012609
139,34,Saint Louis,26,6,0.8287,104.6,91.2,67.2,0.024,0.408582929,0.232968503,0.274948966,0.083499602
2348,35,Louisiana Tech,27,7,0.8205,108.7,95.2,70.6,0,0.371238002,0.243614771,0.278591183,0.106556044
254,36,Utah,21,11,0.8182,110.1,96.6,64.9,-0.049,0.363318909,0.241771755,0.303026787,0.091882548
24,37,Stanford,21,12,0.8181,112.5,98.7,66.5,0.006,0.373113901,0.252639137,0.286743176,0.087503786
